,EDAD,AVG_DH,MINUTES_DH,EXPERIENCIA,GENERO,TRACK_DH,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,DIAS_EMP
8468,47.0,3.6,4701.4,31.7,,DATA,MEXICO,UNIVERSITARY,,90.0
6927,27.0,,4566.6,5.4,,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,95.0
998,,3.6,4540.2,16.9,MASCULINO,PROGRAMACION,MEXICO,POST_GRADUATE,COMMERCIAL,86.0
2173,32.0,3.3,4454.0,13.8,MASCULINO,PROGRAMACION,ARGENTINA,,ENGINEERING,85.0
3646,36.0,,4229.5,19.2,,DATA,ARGENTINA,TERTIARY,COMMERCIAL,103.0
891,36.0,2.8,3338.5,20.1,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
3745,32.0,3.6,4593.3,13.2,MASCULINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,88.0
4366,37.0,3.7,4589.0,22.7,,PROGRAMACION,,UNIVERSITARY,COMMERCIAL,87.0
6760,,3.8,4629.9,9.6,,DATA,BRAZIL,TERTIARY,MARKETING,100.0
3566,34.0,3.1,4204.6,15.3,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,89.0
3955,38.0,3.7,4597.3,,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,90.0
2812,29.0,3.5,4539.0,8.8,,DATA,,POST_GRADUATE,,85.0
36,37.0,3.4,4493.0,22.1,FEMENINO,PROGRAMACION,MEXICO,TERTIARY,,100.0
6727,,3.5,4529.8,,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,100.0
1729,27.0,4.0,,5.6,MASCULINO,DATA,BRAZIL,TERTIARY,ENGINEERING,86.0
3265,28.0,3.9,4730.0,7.6,MASCULINO,PROGRAMACION,ARGENTINA,,COMMERCIAL,83.0
7359,32.0,3.5,4548.1,12.0,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,96.0
3376,33.0,3.4,,,FEMENINO,DATA,ARGENTINA,TERTIARY,,98.0
596,30.0,4.0,4704.7,8.9,FEMENINO,PROGRAMACION,BRAZIL,,ENGINEERING,93.0
3869,33.0,3.4,4442.8,14.7,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,88.0
6275,26.0,3.5,4692.9,3.2,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,,97.0
3253,,2.9,3540.4,27.3,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,102.0
2938,35.0,3.7,4552.7,17.7,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,COMMERCIAL,96.0
7348,,3.0,3855.8,15.7,MASCULINO,DATA,ARGENTINA,,ENGINEERING,84.0
8811,34.0,,4387.5,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
3648,38.0,3.5,4520.2,23.2,,DATA,,TERTIARY,ENGINEERING,101.0
8901,30.0,3.2,4245.6,,,DATA,ARGENTINA,,ENGINEERING,86.0
8910,34.0,3.3,4483.4,16.8,MASCULINO,PROGRAMACION,MEXICO,,,88.0
3300,,3.6,4716.0,19.4,FEMENINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,100.0
5336,29.0,3.9,4607.8,7.9,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
4896,,,4625.2,12.3,MASCULINO,PROGRAMACION,ARGENTINA,,ENGINEERING,85.0
3117,34.0,4.1,4856.0,17.8,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,85.0
7271,40.0,3.0,3934.5,24.9,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,89.0
4567,30.0,3.6,4635.7,9.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
1101,27.0,4.0,4658.8,6.2,MASCULINO,DATA,MEXICO,TERTIARY,ENGINEERING,85.0
5847,,3.4,,12.2,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,84.0
6538,38.0,,3551.3,21.6,MASCULINO,PROGRAMACION,ARGENTINA,,DEVELOPMENT,91.0
346,40.0,4.0,,24.7,FEMENINO,EJECUTIVO,MEXICO,UNIVERSITARY,COMMERCIAL,102.0
8994,36.0,3.4,4600.8,19.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,88.0
4465,34.0,3.4,4486.3,15.8,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,88.0
8559,44.0,,4682.8,29.1,,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,101.0
8214,36.0,3.2,4226.2,19.5,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,86.0
8092,38.0,2.8,,21.6,FEMENINO,DATA,ARGENTINA,TERTIARY,,101.0
5789,35.0,,4671.9,17.8,MASCULINO,EJECUTIVO,BRAZIL,,COMMERCIAL,83.0
4693,39.0,3.2,4312.7,22.6,MASCULINO,EJECUTIVO,BRAZIL,TERTIARY,ENGINEERING,92.0
8415,,3.5,4632.7,3.7,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,89.0
3856,,3.9,4733.5,,,,ARGENTINA,UNIVERSITARY,ENGINEERING,97.0
5629,39.0,3.6,4665.0,22.9,MASCULINO,MARKETING,BRAZIL,TERTIARY,DEVELOPMENT,92.0
1847,31.0,,4704.8,12.7,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,94.0
7672,33.0,3.1,4014.9,15.0,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,96.0
8937,37.0,3.7,,21.3,MASCULINO,DATA,MEXICO,POST_GRADUATE,DEVELOPMENT,91.0
4701,28.0,3.4,4508.5,8.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,84.0
5547,35.0,3.2,4256.1,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
8064,36.0,,4591.9,20.5,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,,97.0
3299,,3.3,,6.0,FEMENINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,94.0
1434,27.0,3.9,4698.8,5.8,,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,82.0
7406,39.0,4.2,4954.7,23.1,,DATA,ARGENTINA,UNIVERSITARY,,92.0
2026,26.0,3.1,4034.1,5.9,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,DEVELOPMENT,86.0
4239,37.0,3.3,4364.7,22.6,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,COMMERCIAL,88.0
7771,44.0,3.9,4668.3,28.8,MASCULINO,MARKETING,ARGENTINA,TERTIARY,ENGINEERING,94.0
8869,31.0,3.5,4655.8,,FEMENINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,96.0
7554,32.0,3.4,4565.3,14.6,MASCULINO,,,UNIVERSITARY,DEVELOPMENT,85.0
7285,38.0,3.8,,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,89.0
8289,40.0,4.1,4814.5,25.5,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,91.0
5483,35.0,,4064.5,19.0,MASCULINO,PROGRAMACION,,TERTIARY,DEVELOPMENT,89.0
7696,31.0,3.7,4597.8,13.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,86.0
3894,26.0,3.2,4294.2,3.9,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,,96.0
2668,31.0,4.4,5396.7,10.9,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
8317,34.0,3.3,4395.8,17.2,MASCULINO,,ARGENTINA,UNIVERSITARY,,87.0
3353,37.0,3.0,3835.1,21.7,MASCULINO,,MEXICO,TERTIARY,COMMERCIAL,90.0
333,38.0,3.7,4623.2,,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,103.0
341,,4.1,4853.4,23.5,FEMENINO,,,UNIVERSITARY,ENGINEERING,100.0
627,33.0,3.7,4597.1,15.1,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,97.0
3055,32.0,2.6,2438.0,12.6,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,89.0
1427,39.0,3.7,4616.6,24.2,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,COMMERCIAL,92.0
8785,36.0,4.0,,18.3,MASCULINO,DATA,BRAZIL,TERTIARY,ENGINEERING,92.0
8654,41.0,3.8,4675.1,25.8,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,93.0
4052,30.0,3.7,4588.0,9.1,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,84.0
8519,31.0,4.2,4907.4,10.3,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
4416,31.0,3.4,4501.6,10.6,MASCULINO,EJECUTIVO,MEXICO,UNIVERSITARY,ENGINEERING,84.0
7491,31.0,3.0,3889.9,10.5,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,97.0
2618,38.0,3.6,4563.5,23.3,MASCULINO,PROGRAMACION,,TERTIARY,,94.0
3910,38.0,3.6,4721.9,21.9,MASCULINO,PROGRAMACION,MEXICO,POST_GRADUATE,ENGINEERING,90.0
5590,24.0,3.4,4556.4,3.8,MASCULINO,,BRAZIL,UNIVERSITARY,DEVELOPMENT,87.0
4774,29.0,3.8,,8.3,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,83.0
5226,,3.2,4315.1,,MASCULINO,EJECUTIVO,BRAZIL,TERTIARY,BUSINESS,90.0
4510,36.0,3.5,4535.6,19.4,,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,99.0
5146,,2.8,3145.5,15.0,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,96.0
7165,42.0,3.0,3892.2,27.3,,DATA,,UNIVERSITARY,ENGINEERING,93.0
3464,36.0,,,20.2,MASCULINO,PROGRAMACION,BRAZIL,POST_GRADUATE,,86.0
6469,35.0,,4720.5,,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,102.0
5882,35.0,3.1,4193.8,,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,97.0
3120,41.0,3.5,,25.1,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
2111,,2.8,3313.1,15.1,MASCULINO,EJECUTIVO,,POST_GRADUATE,,86.0
1389,37.0,3.6,,21.3,FEMENINO,MARKETING,,UNIVERSITARY,,98.0
7212,27.0,3.6,,6.6,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,,89.0
5375,31.0,3.1,4147.1,12.0,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,ENGINEERING,87.0
6709,28.0,3.5,,,,,ARGENTINA,,,95.0
6067,37.0,3.5,4655.6,20.0,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,96.0
1834,40.0,3.8,4666.0,23.7,,PROGRAMACION,,,ENGINEERING,88.0
8829,,3.1,4124.6,13.1,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,,85.0
1752,43.0,3.1,4115.3,28.4,MASCULINO,DATA,,TERTIARY,,92.0
4484,,3.2,4248.5,9.8,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,100.0
3144,44.0,,4553.4,29.2,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,92.0
8185,,3.8,4592.3,15.8,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,98.0
1869,35.0,3.5,4588.1,17.3,,PROGRAMACION,ARGENTINA,UNIVERSITARY,,84.0
7514,32.0,,4760.9,13.7,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,87.0
8322,41.0,3.0,3835.0,26.5,,DATA,,UNIVERSITARY,,92.0
2275,42.0,,4711.6,27.8,MASCULINO,,BRAZIL,,,91.0
3385,30.0,4.2,5003.9,10.5,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,81.0
5144,28.0,3.5,4568.8,6.4,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,82.0
8267,30.0,4.1,4787.3,11.2,,MARKETING,ARGENTINA,POST_GRADUATE,COMMERCIAL,82.0
3925,37.0,,4380.5,20.8,MASCULINO,MARKETING,ARGENTINA,TERTIARY,,91.0
2025,39.0,3.7,4623.7,25.1,,DATA,,UNIVERSITARY,DEVELOPMENT,88.0
919,36.0,4.2,4913.0,19.9,MASCULINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,87.0
6797,28.0,3.3,4528.5,7.5,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,87.0
6444,28.0,3.9,,7.2,FEMENINO,DATA,,UNIVERSITARY,COMMERCIAL,94.0
4791,25.0,2.9,3557.6,3.9,MASCULINO,DATA,MEXICO,UNIVERSITARY,BUSINESS,85.0
6225,38.0,3.0,3859.6,,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,98.0
2944,39.0,3.0,3935.2,24.4,FEMENINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,99.0
5807,,,4762.6,12.8,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,93.0
6248,34.0,,4371.4,,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
1289,34.0,3.6,,15.7,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,DEVELOPMENT,98.0
8068,32.0,3.0,3877.2,13.1,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,94.0
3066,39.0,,4620.9,24.2,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
104,23.0,2.7,2809.9,1.1,MASCULINO,DATA,ARGENTINA,,ENGINEERING,86.0
1067,36.0,3.8,4718.9,19.3,FEMENINO,PROGRAMACION,MEXICO,UNIVERSITARY,,95.0
2716,43.0,3.1,4185.5,28.7,MASCULINO,DATA,MEXICO,POST_GRADUATE,ENGINEERING,92.0
1506,28.0,2.9,,7.5,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,86.0
6518,25.0,3.4,4620.6,,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
2526,43.0,3.8,4703.2,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,90.0
6399,41.0,3.2,4364.2,,MASCULINO,,BRAZIL,UNIVERSITARY,ENGINEERING,92.0
1856,,3.5,,17.1,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,COMMERCIAL,87.0
4539,38.0,2.8,3284.1,23.4,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,,107.0
5191,32.0,4.2,4942.9,,MASCULINO,DATA,BRAZIL,TERTIARY,COMMERCIAL,88.0
2154,35.0,3.3,,18.8,MASCULINO,,MEXICO,UNIVERSITARY,COMMERCIAL,87.0
318,34.0,3.6,4730.1,15.0,,PROGRAMACION,MEXICO,POST_GRADUATE,ENGINEERING,86.0
6810,30.0,3.3,4425.3,,MASCULINO,MARKETING,,,DEVELOPMENT,88.0
4087,31.0,3.4,4479.6,12.2,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
5684,36.0,,4542.1,,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
4336,32.0,3.3,4431.2,,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,90.0
3175,,3.3,,19.6,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,91.0
7426,33.0,3.8,4588.8,15.0,MASCULINO,,MEXICO,POST_GRADUATE,COMMERCIAL,85.0
4734,25.0,3.3,4442.0,2.8,MASCULINO,MARKETING,ARGENTINA,POST_GRADUATE,,87.0
3367,40.0,3.6,,24.7,FEMENINO,,ARGENTINA,UNIVERSITARY,,101.0
7630,,2.6,,23.9,MASCULINO,,,UNIVERSITARY,ENGINEERING,93.0
5231,38.0,3.9,4675.7,,,DATA,ARGENTINA,TERTIARY,ENGINEERING,102.0
1531,35.0,3.1,,18.6,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,98.0
1945,22.0,4.1,4829.4,0.5,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,92.0
2579,29.0,3.0,,8.6,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,95.0
192,31.0,3.9,,,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,87.0
2969,29.0,3.4,4534.7,7.3,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,92.0
2051,32.0,3.5,4577.4,12.1,,PROGRAMACION,BRAZIL,UNIVERSITARY,COMMERCIAL,89.0
1569,28.0,4.5,5717.6,6.4,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
818,,,2573.2,29.5,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,DEVELOPMENT,104.0
1454,40.0,3.7,4571.4,24.1,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,95.0
2815,,3.2,4335.0,0.1,,EJECUTIVO,ARGENTINA,,COMMERCIAL,98.0
6195,,3.5,4523.7,23.2,MASCULINO,MARKETING,ARGENTINA,POST_GRADUATE,ENGINEERING,88.0
4058,38.0,2.5,2097.5,21.0,,DATA,ARGENTINA,,ENGINEERING,92.0
1023,33.0,4.0,4719.6,,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,ENGINEERING,88.0
63,36.0,3.9,4726.6,21.1,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
6047,32.0,3.2,4310.6,13.5,MASCULINO,PROGRAMACION,BRAZIL,,DEVELOPMENT,86.0
8465,31.0,3.6,4654.7,11.2,MASCULINO,,ARGENTINA,,ENGINEERING,84.0
93,39.0,4.1,4774.9,24.4,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,98.0
8750,30.0,3.8,4698.8,8.8,MASCULINO,,BRAZIL,,,91.0
6462,34.0,4.2,4983.8,15.1,MASCULINO,,,POST_GRADUATE,ENGINEERING,86.0
2199,36.0,3.6,4655.4,18.5,MASCULINO,EJECUTIVO,ARGENTINA,,DEVELOPMENT,87.0
2608,37.0,3.6,4599.1,21.8,FEMENINO,,BRAZIL,,ENGINEERING,97.0
3368,,3.1,4134.4,15.6,,MARKETING,,UNIVERSITARY,ENGINEERING,84.0
2260,28.0,4.1,4855.1,,FEMENINO,EJECUTIVO,ARGENTINA,TERTIARY,,97.0
7172,37.0,3.7,,22.1,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
7261,33.0,3.6,4699.2,,,DATA,MEXICO,,,98.0
2862,27.0,3.4,,5.1,MASCULINO,PROGRAMACION,MEXICO,,COMMERCIAL,83.0
634,27.0,3.9,,5.4,MASCULINO,DATA,ARGENTINA,TERTIARY,,86.0
5200,,3.3,,25.9,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
8716,30.0,,4616.5,10.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,MARKETING,101.0
4344,29.0,3.1,,8.4,,DATA,BRAZIL,POST_GRADUATE,ENGINEERING,86.0
6585,26.0,,4189.6,3.8,FEMENINO,EJECUTIVO,MEXICO,TERTIARY,COMMERCIAL,100.0
6997,31.0,3.3,4358.8,11.9,FEMENINO,PROGRAMACION,MEXICO,TERTIARY,ENGINEERING,97.0
5525,35.0,3.9,4630.0,17.0,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
413,33.0,4.1,4768.0,13.1,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,95.0
8481,37.0,,4627.4,20.4,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,88.0
1405,35.0,3.8,4687.1,16.9,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,98.0
2313,30.0,3.9,4605.0,9.9,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,83.0
7427,,3.7,4611.1,8.6,,DATA,BRAZIL,TERTIARY,ENGINEERING,89.0
3676,31.0,2.6,2559.9,13.4,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,86.0
2768,43.0,3.9,4615.0,27.5,FEMENINO,DATA,BRAZIL,POST_GRADUATE,COMMERCIAL,100.0
1517,28.0,,4382.5,6.8,MASCULINO,PROGRAMACION,,UNIVERSITARY,,83.0
77,44.0,4.1,,30.1,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,102.0
4614,29.0,3.4,,8.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,83.0
6865,29.0,3.8,4581.1,,FEMENINO,EJECUTIVO,BRAZIL,UNIVERSITARY,ENGINEERING,93.0
2503,31.0,3.8,4581.9,11.4,MASCULINO,PROGRAMACION,,POST_GRADUATE,ENGINEERING,85.0
2935,30.0,,,9.8,,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
6084,32.0,3.4,4530.2,13.5,FEMENINO,,,TERTIARY,ENGINEERING,96.0
5467,36.0,3.4,4535.5,19.0,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,99.0
7795,26.0,3.2,4251.7,5.8,MASCULINO,PROGRAMACION,BRAZIL,,DEVELOPMENT,85.0
425,45.0,3.3,4351.3,29.7,FEMENINO,DATA,MEXICO,UNIVERSITARY,ENGINEERING,101.0
8531,36.0,3.4,4515.8,21.0,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,89.0
2225,36.0,3.0,3918.4,18.6,MASCULINO,PROGRAMACION,,TERTIARY,MARKETING,95.0
7964,32.0,3.5,4678.2,13.1,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,88.0
1369,39.0,,4616.8,22.9,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,92.0
643,26.0,3.8,,4.4,MASCULINO,,ARGENTINA,,ENGINEERING,84.0
5229,33.0,3.6,4612.5,14.5,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,95.0
8940,29.0,3.2,4381.5,8.1,FEMENINO,DATA,ARGENTINA,,ENGINEERING,93.0
1742,32.0,4.1,4824.2,13.9,MASCULINO,PROGRAMACION,BRAZIL,POST_GRADUATE,DEVELOPMENT,83.0
4103,37.0,3.4,,,FEMENINO,PROGRAMACION,BRAZIL,UNIVERSITARY,DEVELOPMENT,99.0
49,27.0,4.1,4780.0,,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,,86.0
6620,31.0,3.7,,11.2,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,,83.0
8157,38.0,,4615.5,,MASCULINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,91.0
2042,44.0,2.7,2942.3,29.2,MASCULINO,DATA,BRAZIL,TERTIARY,ENGINEERING,93.0
4890,30.0,3.5,4564.8,10.6,MASCULINO,DATA,BRAZIL,TERTIARY,ENGINEERING,88.0
2646,34.0,3.5,4648.8,16.7,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,,100.0
2942,32.0,4.0,4641.2,12.5,MASCULINO,MARKETING,ARGENTINA,,ENGINEERING,85.0
3681,35.0,,4831.0,17.8,MASCULINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,88.0
5373,,3.1,4134.8,28.6,FEMENINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,101.0
6419,33.0,3.5,4702.7,,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
2116,36.0,3.6,4717.0,19.7,,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,98.0
7027,36.0,,4751.1,20.5,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,87.0
1209,39.0,3.3,4385.6,23.2,MASCULINO,,,POST_GRADUATE,,89.0
1981,,3.3,4366.8,16.1,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,89.0
4826,38.0,4.1,4729.3,22.3,MASCULINO,,ARGENTINA,POST_GRADUATE,,87.0
2806,38.0,3.8,4581.6,23.5,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
872,28.0,3.7,4562.8,7.7,,DATA,,UNIVERSITARY,COMMERCIAL,82.0
628,,3.6,4634.0,16.6,MASCULINO,EJECUTIVO,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
6775,33.0,3.6,4558.7,13.4,,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,85.0
693,33.0,,4663.1,15.5,,,ARGENTINA,UNIVERSITARY,,87.0
13,43.0,3.2,,,MASCULINO,DATA,MEXICO,POST_GRADUATE,COMMERCIAL,92.0
3070,31.0,,4754.0,11.6,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,,84.0
5341,,3.5,4649.3,2.7,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
1941,,3.3,4510.0,8.7,MASCULINO,,,UNIVERSITARY,ENGINEERING,84.0
7214,29.0,3.3,4404.8,9.1,MASCULINO,DATA,MEXICO,TERTIARY,COMMERCIAL,85.0
551,28.0,3.3,,7.5,FEMENINO,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,93.0
8857,38.0,2.9,3578.1,21.8,MASCULINO,PROGRAMACION,MEXICO,TERTIARY,DEVELOPMENT,93.0
7721,28.0,3.2,4242.1,7.0,,,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
4787,36.0,3.4,4477.9,18.8,FEMENINO,DATA,BRAZIL,,ENGINEERING,96.0
1326,35.0,3.8,4655.0,17.2,MASCULINO,EJECUTIVO,,TERTIARY,,89.0
1147,38.0,3.6,4524.4,22.4,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,MARKETING,104.0
6704,25.0,3.4,,,FEMENINO,DATA,BRAZIL,,DEVELOPMENT,94.0
796,37.0,,3595.0,20.2,MASCULINO,DATA,ARGENTINA,,ENGINEERING,88.0
200,24.0,3.5,4530.7,2.7,MASCULINO,,ARGENTINA,,COMMERCIAL,85.0
1422,37.0,4.2,4877.4,20.6,MASCULINO,EJECUTIVO,ARGENTINA,TERTIARY,ENGINEERING,91.0
4200,42.0,3.0,3888.8,28.7,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,105.0
1142,41.0,3.8,4750.8,26.0,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,101.0
934,34.0,3.9,,16.5,,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
5673,29.0,3.2,4350.4,8.5,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,80.0
7174,34.0,3.9,4594.5,15.2,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,96.0
3259,28.0,3.5,4624.2,7.1,MASCULINO,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,83.0
4440,28.0,3.5,4506.6,7.9,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,COMMERCIAL,82.0
1084,41.0,2.8,3302.9,27.0,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,101.0
3261,39.0,,4707.1,24.3,MASCULINO,,ARGENTINA,,ENGINEERING,89.0
5658,,3.7,4633.9,,MASCULINO,DATA,MEXICO,,ENGINEERING,88.0
